USER_ID,SIGNUP_DATE,SIGNUP_CHANNEL,EMAIL_TYPE,JOB_TITLE,COUNTRY,M1_RETAINED
7.85795E+17,2030-12-09 0:00,product_referral,Business,project-manager,Philippines,1
7.66034E+17,2030-10-15 0:00,invites,Personal,designer,Canada,0
7.68037E+17,2030-10-21 0:00,direct,Personal,developer,Germany,0
7.46753E+17,2030-08-23 0:00,shares,Personal,designer,Russia,0
7.50838E+17,2030-09-03 0:00,direct,Business,marketer,United States,0
7.49302E+17,2030-08-30 0:00,direct,Personal,designer,Morocco,0
7.17846E+17,2030-06-04 0:00,invites,Business,developer,Brazil,1
7.25298E+17,2030-06-25 0:00,shares,Personal,designer,Russia,0
7.15858E+17,2030-05-30 0:00,direct,Personal,other,Poland,0
7.10953E+17,2030-05-16 0:00,direct,Personal,project-manager,Germany,0
6.81142E+17,2030-02-23 0:00,direct,Personal,developer,Germany,0
6.92718E+17,2030-03-27 0:00,shares,Personal,other,Argentina,1
7.63766E+17,2030-10-09 0:00,invites,Personal,designer,Peru,1
7.4484E+17,2030-08-18 0:00,search,Personal,developer,Israel,0
7.40804E+17,2030-08-07 0:00,search,Personal,designer,France,0
6.7442E+17,2030-02-05 0:00,search,Personal,developer,Brazil,0
6.91998E+17,2030-03-25 0:00,direct,Education,other,Philippines,0
7.68541E+17,2030-10-22 0:00,shares,Business,other,United States,0
7.57133E+17,2030-09-21 0:00,direct,Personal,developer,Philippines,0
7.45206E+17,2030-08-19 0:00,search,Personal,designer,Algeria,0
7.2305E+17,2030-06-19 0:00,shares,Personal,developer,Myanmar,0
7.2166E+17,2030-06-15 0:00,invites,Personal,developer,Belarus,0
6.68143E+17,2030-01-18 0:00,invites,Personal,developer,Italy,0
7.15127E+17,2030-05-28 0:00,shares,Personal,designer,United States,0
7.64197E+17,2030-10-10 0:00,direct,Personal,designer,Ukraine,0
7.85909E+17,2030-12-09 0:00,search,Personal,designer,United States,0
7.86467E+17,2030-12-11 0:00,direct,Personal,designer,India,0
7.82949E+17,2030-12-01 0:00,direct,Personal,other,Czechia,0
7.58598E+17,2030-09-25 0:00,shares,Business,developer,Thailand,0
7.54355E+17,2030-09-13 0:00,shares,Education,other,United States,0
7.62949E+17,2030-10-07 0:00,search,Personal,designer,Taiwan,0
7.52162E+17,2030-09-07 0:00,search,Education,designer,United States,0
7.86604E+17,2030-12-11 0:00,search,Education,other,Indonesia,0
7.09812E+17,2030-05-13 0:00,search,Personal,marketer,Russia,0
7.59031E+17,2030-09-26 0:00,direct,Business,developer,Israel,0
7.20967E+17,2030-06-13 0:00,search,Business,other,Pakistan,0
7.23164E+17,2030-06-19 0:00,direct,Business,developer,Kazakhstan,0
7.73525E+17,2030-11-05 0:00,product_referral,Personal,other,Russia,0
7.12326E+17,2030-05-20 0:00,search,Personal,developer,Colombia,0
7.74117E+17,2030-11-07 0:00,direct,Personal,developer,Canada,0
7.86167E+17,2030-12-10 0:00,search,Personal,project-manager,India,0
7.74959E+17,2030-11-09 0:00,shares,Personal,project-manager,Sweden,0
7.52852E+17,2030-09-09 0:00,direct,Personal,developer,Ireland,0
6.82045E+17,2030-02-26 0:00,search,Personal,designer,United States,0
6.96215E+17,2030-04-06 0:00,invites,Education,designer,Indonesia,0
7.21058E+17,2030-06-13 0:00,direct,Personal,other,United States,0
7.03444E+17,2030-04-26 0:00,search,Personal,marketer,Indonesia,0
7.57445E+17,2030-09-22 0:00,direct,Personal,other,United States,0
